Название|Адрес|Долгота|Широта
Пульс, сеть аптек|Первомайская, 123|83.060578373319|54.741271532829
Пульс, сеть аптек|Микрорайон, 16Б|83.049540399039|54.747059859075
Пульс, сеть аптек|Лелюха, 9|83.101285074952|54.764639051644
Пульс, сеть аптек|Красная Сибирь, 105|83.062623638422|54.748817675833
Пульс, сеть аптек|Ленина, 52|83.103781209343|54.760328302626
Пульс, сеть аптек|Лелюха, 13|83.099753470354|54.763016663015
Пульс, сеть аптек|Лунная, 8|83.055853116107|54.749178597202
Аптека, ООО Антей-98|Столетова, 2а|82.965181001376|55.098757229239
Интра, аптека|Есенина, 41|82.989115473501|55.042503847339
Домашняя аптека, ООО Аптека Супер фарм|Вертковская, 5/1|82.891575175545|54.975371442638
Домашняя аптека, ООО Аптека Супер фарм|Энергетиков проезд, 8|82.874302165502|55.011230264263
Адонис, ООО, аптека|Зорге, 25|82.902529628935|54.935396634793
Аптека, ООО Вектор-Фарм|Кольцово пос, 12а|83.185112379498|54.940230106559
Аптека №163, ОАО|Кольцово пос, 25а|83.189865171123|54.943291466784
Аптека, ООО Медовая компания Сибирь|Геодезическая, 23|82.911829340008|54.986635569741
Сибирское Здоровье, ООО, аптека|Плахотного, 74/2|82.847964420681|54.986299701344
Сибирь-Фарм, аптека|Гидромонтажная, 50|82.978398028667|54.860945509599
Витана, аптечная сеть|Комсомольская, 19|83.302859560299|54.642989879376
Витана, аптечная сеть|Индустриальный микрорайон, 24|83.302476474196|54.625007087376
Витана, аптечная сеть|Ленинградская, 19а|83.289898217442|54.633509481517
Витана, аптечная сеть|Лермонтова, 43|83.304676252471|54.632543522913
Витана, аптечная сеть|Южный микрорайон, 40а|83.287958369698|54.611693279534
Оптимэ+, ООО, сеть аптек|Комсомольская, 31|83.30865120889|54.642881383692
Оптимэ+, ООО, сеть аптек|Пушкина, 40|83.303849678598|54.63898445599
Аптека.ру, служба доставки лекарств|Киевская, 16/1|82.850427011281|54.990754161996
Аптека.ру, служба доставки лекарств|Ватутина, 12|82.88539400058|54.989017509085
Аптека.ру, служба доставки лекарств|Владимировская, 1|82.892080665714|55.031632485034
Аптека.ру, служба доставки лекарств|Богдана Хмельницкого, 35|82.951273829847|55.074814380978
Аптека.ру, служба доставки лекарств|Авиастроителей, 14|82.97631470834|55.07390998938
Аптека.ру, служба доставки лекарств|Геодезическая, 13|82.907345763647|54.988361103576
Аптека.ру, служба доставки лекарств|Первомайская, 39/4|83.109433914527|54.966354706324
Аптека.ру, служба доставки лекарств|Демьяна Бедного, 58а|82.934919522048|55.048116887118
Аптека.ру, служба доставки лекарств|Железнодорожная, 2|82.719324062839|54.991486415347
Аптека.ру, служба доставки лекарств|Никитина, 70|82.963994164747|55.014962989168
Аптека.ру, служба доставки лекарств|Кольцово пос, 25|83.189997675935|54.942805035229
Аптека.ру, служба доставки лекарств|Серебренниковская, 42|82.925417429172|55.029017650626
Аптека.ру, служба доставки лекарств|Челюскинцев, 5|82.898393497152|55.037232681793
Аптека.ру, служба доставки лекарств|Ленина, 27|83.094996335441|54.763728340919
Аптека.ру, служба доставки лекарств|Кошурникова, 11/1|82.960922848844|55.042142928049
Аптека.ру, служба доставки лекарств|Колхидская, 11|82.816505612836|54.989795099131
Аптека.ру, служба доставки лекарств|Красный проспект, 161|82.91151620997|55.06133116267
Аптека.ру, служба доставки лекарств|Дмитрия Донского, 30|82.895591717927|55.062835454347
Аптека.ру, служба доставки лекарств|Новогодняя, 4/1|82.899903055341|54.980213390514
Аптека.ру, служба доставки лекарств|Фабричная, 4/1|82.922412544535|55.015710763191
Аптека.ру, служба доставки лекарств|Иванова, 28|83.090652900635|54.867742770535
Аптека Сибири, ООО Магнат 8|Киевская, 16/1|82.850427011281|54.990754161996
Аптека.ру, служба доставки лекарств|Народная, 32|82.960592617939|55.076329165891
Аптека.ру, служба доставки лекарств|Кольцово пос, 18а|83.185125280252|54.942289633491
Аптека.ру, служба доставки лекарств|Марии Ульяновой, 1|83.088205191678|54.971373037841
Аптека.ру, служба доставки лекарств|Станиславского, 15|82.872330193394|54.982513158657
Аптека.ру, служба доставки лекарств|Станиславского, 28|82.872222423158|54.975578732593
Аптека.ру, служба доставки лекарств|Иванова, 3|83.081726594128|54.866638711236
ДНК-Плюс, аптека|Тельмана, 16Б|83.181546337297|54.958905767712
Аптека.ру, служба доставки лекарств|Титова, 13|82.881050022564|54.982136439309
Аптека.ру, служба доставки лекарств|Титова, 1|82.889427808594|54.982039554101
Аптека.ру, служба доставки лекарств|Динамовцев, 1|82.989629692014|54.862182608438
Виктория, аптека|Выставочная, 41/5|82.895073603671|54.995535834616
Аптека.ру, служба доставки лекарств|Авиастроителей, 13|82.973413009877|55.073234477261
Аптека.ру, служба доставки лекарств|Петухова, 20|82.899265936613|54.939343930579
Аптека.ру, служба доставки лекарств|Вилюйская, 24 к2|83.007218411593|54.998636863303
Аптека.ру, служба доставки лекарств|Залесского, 5|82.925255832336|55.068171790821
Аптечный пункт, ООО Движение|Старое шоссе, 75|83.074753686551|54.92440931124
Аптека.ру, служба доставки лекарств|Котовского, 1|82.889339807533|54.991991437745
Аптека.ру, служба доставки лекарств|Владимировская, 2|82.893396347624|55.031796815644
Аптека.ру, служба доставки лекарств|Жуковского, 109|82.892756354243|55.06257452077
Аптека.ру, служба доставки лекарств|Подгорный микрорайон, 32|83.288106735166|54.625057072816
Аптека.ру, служба доставки лекарств|Большевистская, 34|82.960986927089|54.998039251681
Аптека.ру, служба доставки лекарств|Немировича-Данченко, 155|82.91293356465|54.984003844624
Аптека.ру, служба доставки лекарств|Гоголя, 180|82.954502863914|55.044354113591
Аптека.ру, служба доставки лекарств|Южный микрорайон, 40а|83.287958369698|54.611693279534
Аптека.ру, служба доставки лекарств|Краснообск пос, ДОМ БЫТА|82.983239450492|54.91884141153
Аптека.ру, служба доставки лекарств|Краснообск пос, 93|82.994842083739|54.921284954192
Аптека.ру, служба доставки лекарств|Краснообск пос, 221|82.983635072222|54.923088673903
Аптека.ру, служба доставки лекарств|Краснообск пос, 207|82.983656040554|54.925411013908
Аптека.ру, служба доставки лекарств|Объединения, 80|82.962418922556|55.095876586539
Аптека.ру, служба доставки лекарств|Троллейная, 18|82.853735884559|54.991784782691
Аптека, ЗАО Евросервис|Кирова, 27/3|82.946189994244|55.018936808595
Аптека.ру, служба доставки лекарств|Троллейная, 130а|82.8526254483|54.966614935703
Аптека.ру, служба доставки лекарств|Ленинградская, 19а|83.289898217442|54.633509481517
Аптека.ру, служба доставки лекарств|Тульская, 90/2|82.912607337865|54.977145543689
Аптека.ру, служба доставки лекарств|Горский микрорайон, 43|82.896199686599|54.992963278333
Аптека.ру, служба доставки лекарств|Горский микрорайон, 3 к2|82.905403120405|54.993590839992
Аптека.ру, служба доставки лекарств|Морской проспект, 22|83.106282922218|54.839199228831
Аптека.ру, служба доставки лекарств|Выборная, 122/3|83.012072543513|55.000100758728
Аптека.ру, служба доставки лекарств|Трудовая, 7|82.919506673796|55.032006787153
Аптека.ру, служба доставки лекарств|25 лет Октября, 1|82.969862349824|55.068875488685
Аптека.ру, служба доставки лекарств|Советская, 21а|83.321843816922|55.211036121352
Аптека.ру, служба доставки лекарств|Ключ-Камышенское Плато, 14|83.046171856783|54.98794093364
Аптека.ру, служба доставки лекарств|Лескова, 282|82.973381534533|55.012510196694
Аптека.ру, служба доставки лекарств|Зорге, 25|82.902529628935|54.935396634793
Аптека.ру, служба доставки лекарств|Зорге, 20|82.906792231534|54.933237485229
Аптека.ру, служба доставки лекарств|Зорге, 179/1|82.919310344076|54.934768694651
Аптека.ру, служба доставки лекарств|Зорге, 267|82.924113907522|54.933500874146
Аптека.ру, служба доставки лекарств|40 лет Комсомола, 5|82.980542014795|54.859150855049
Аптека.ру, служба доставки лекарств|Забалуева, 78Б|82.806305734837|54.988698814889
Аптека.ру, служба доставки лекарств|Невельского, 5а|82.832275982637|54.99342392548
Аптека.ру, служба доставки лекарств|Карла Маркса площадь, 3|82.891261492656|54.98362115031
Аптека.ру, служба доставки лекарств|Бердышева, 5|82.969190397048|54.862631602346
Аптека.ру, служба доставки лекарств|Восход, 18|82.941258856439|55.012011336247
Аптека.ру, служба доставки лекарств|Красный проспект, 24|82.922662131988|55.023990201668
Аптека.ру, служба доставки лекарств|Красный проспект, 13|82.921544698964|55.024121266732
Аптека.ру, служба доставки лекарств|Красный проспект, 15/1|82.921095416876|55.025706642791
Аптека.ру, служба доставки лекарств|Бетонная, 5|82.905689029685|54.96299578578
Аптека.ру, служба доставки лекарств|Лермонтова, 43|83.304676252471|54.632543522913
Аптека.ру, служба доставки лекарств|Демакова, 20|83.109070152952|54.863272307985
Аптека.ру, служба доставки лекарств|Демакова, 5|83.103461987285|54.864138511798
Аптека.ру, служба доставки лекарств|Героев Труда, 4|83.080764781931|54.86083751993
Аптека.ру, служба доставки лекарств|Грибоедова, 34|82.958351252776|55.006971339881
Аптека.ру, служба доставки лекарств|Ленина, 89/9|83.115390428532|54.757389155101
Аптека.ру, служба доставки лекарств|Ленина, 36|83.098556056535|54.761741626188
Аптека.ру, служба доставки лекарств|Ленина, 33|83.100518550643|54.76197488113
Аптека.ру, служба доставки лекарств|Комсомольская, 23а|82.961267427063|54.957140362054
Аптека.ру, служба доставки лекарств|Саратовская, 2|82.886773630179|55.038791265657
Аптека.ру, служба доставки лекарств|Дзержинского проспект, 7|82.965421814419|55.051855217143
Аптека.ру, служба доставки лекарств|Дзержинского проспект, 18|82.968192065604|55.052290612984
Аптека.ру, служба доставки лекарств|Дзержинского проспект, 38|82.984886651149|55.060292405472
Аптека.ру, служба доставки лекарств|Дзержинского проспект, 79|82.989757680932|55.06325611337
Аптека.ру, служба доставки лекарств|Дзержинского проспект, 81|82.992256568099|55.064412999032
Аптека.ру, служба доставки лекарств|Тюленина, 16/1|82.943743595758|55.109279806127
Аптека.ру, служба доставки лекарств|Южный микрорайон, 48|83.280449573169|54.615852794362
Аптека.ру, служба доставки лекарств|Бориса Богаткова, 248а|82.978435881975|55.037287514609
Аптека.ру, служба доставки лекарств|Доватора, 29|83.000787783527|55.040559343391
Аптека.ру, служба доставки лекарств|Челюскинцев, 17|82.907706622263|55.040676005068
Аптека.ру, служба доставки лекарств|Дачная, 60 к14|82.903135572529|55.065832709772
Аптека.ру, служба доставки лекарств|Балтийская, 33|83.051576215094|54.855201876385
Аптека.ру, служба доставки лекарств|Линейная, 45|82.91965010086|55.051459337356
Аптека.ру, служба доставки лекарств|Крылова, 15|82.926738334457|55.041145543271
Аптека.ру, служба доставки лекарств|Сухарная, 35 к5|82.869361457931|55.047152307242
Аптека.ру, служба доставки лекарств|Дуси Ковальчук, 16|82.886752540508|55.04864104097
Аптека.ру, служба доставки лекарств|Дуси Ковальчук, 1/1|82.882155044038|55.04929351778
Аптека.ру, служба доставки лекарств|Дуси Ковальчук, 89|82.902095060148|55.055752166498
Аптека.ру, служба доставки лекарств|Дуси Ковальчук, 175|82.907098457748|55.057718209031
Аптека.ру, служба доставки лекарств|Дуси Ковальчук, 266/1|82.916173340108|55.059842705115
Аптека.ру, служба доставки лекарств|Красный проспект, 218|82.911698674769|55.065728479913
Аптека.ру, служба доставки лекарств|Дуси Ковальчук, 185|82.920975824505|55.063095806152
Аптека.ру, служба доставки лекарств|Пришвина, 2/1 к1|83.117912678227|54.938085371481
Аптека.ру, служба доставки лекарств|Первомайская, 196|83.070229337711|54.974330815262
Аптека.ру, служба доставки лекарств|Кирова, 25|82.94214676201|55.018251988622
Аптека.ру, служба доставки лекарств|Ленина, 94|82.896300770296|55.039018270982
Аптека.ру, служба доставки лекарств|Пархоменко, 84|82.851907162801|54.987208466621
Аптека.ру, служба доставки лекарств|Дуси Ковальчук, 378а|82.924164594001|55.063110910106
Аптека.ру, служба доставки лекарств|Красный проспект, 81|82.914003849351|55.051209719613
Аптека.ру, служба доставки лекарств|Рассветная, 2/5|82.970644302771|55.109951947982
Аптека.ру, служба доставки лекарств|Бориса Богаткова, 252|82.979988217674|55.038446483652
Аптека.ру, служба доставки лекарств|Бориса Богаткова, 167|82.970690798566|55.034139444756
Аптека.ру, служба доставки лекарств|Терешковой, 12|83.101933320404|54.8410038367
Аптека.ру, служба доставки лекарств|Терешковой, 36|83.11208937058|54.839324127717
Аптека.ру, служба доставки лекарств|Российская, 10а|83.090639985642|54.869758878272
Аптека.ру, служба доставки лекарств|Героев Революции, 16|83.093142157756|54.974596644997
Аптека.ру, служба доставки лекарств|Богдана Хмельницкого, 72|82.964733025681|55.080914491772
Аптека.ру, служба доставки лекарств|Комсомольская, 19|83.302859560299|54.642989879376
Мир здоровья, аптека|Залесского, 5|82.925255832336|55.068171790821
Аптека.ру, служба доставки лекарств|Станиславского, 29/1|82.873758161717|54.974319172669
